mu_J,mu_M,mu_F,gamma,alpha,Kc,beta,f,mating_radius,density_radius,oviposition_radius,movement_radius,beta_0
0.05083803124478905,0.160540904691507,0.09697520117923217,0.056204602266755235,0.0016812599255702884,59.83552699406343,0.03449905127450269,5.577905780128308,9.35923589631394,2.1236669109785606,16.62017702588063,3.982578008955165,7.455250429571984
0.0733584802486536,0.11641979972987497,0.11440904315682127,0.07589157882695236,0.0014865781916314105,80.3745633963689,0.028600397038005362,3.6072007811806315,3.8544917223375608,4.322739791037751,6.814799363088863,5.43819919975002,12.160241393726523
0.04390367280851219,0.18001299282606298,0.04592035623128667,0.03919889075311773,0.0007591452774981264,133.17209882801308,0.01538719779744754,6.334417412840278,2.568224555767692,2.6333406561601587,18.576860643328324,3.6589404849278364,17.095454463568466
0.031307528428591434,0.14093535725152656,0.09847511632061412,0.07241338056556804,0.0009841370570224319,185.05513581402826,0.03488892724775164,3.052516502017408,8.279641898875234,4.765460976800985,19.513579082266183,5.12392985056943,12.470886710350056
0.08017676028563114,0.1363921615151279,0.07117886048113009,0.09873766846995481,0.0016249287022430771,182.06154093698055,0.012450735443578206,6.634220717299647,9.51450471284687,4.9076917339289645,13.972003631375706,4.509240550640389,18.130750680369637
0.06757406144596997,0.17283387736535855,0.05584836059390607,0.11562402805902196,0.0018413534636087816,102.87183903659727,0.03273440066201795,4.571959095147687,6.922086616006467,1.1471353193239058,11.201644000546814,1.5348560361606294,12.61787990965414
0.09280079116582485,0.07613499264784013,0.11891262562668659,0.12865523855747382,0.0014413498995013803,97.94911647824955,0.013069254326853432,9.46490623975987,3.71764129000991,1.0505819316224727,19.064120320176855,5.545913474261953,9.33376300697173
0.056643313230790554,0.09752327080416101,0.1242403098019681,0.07341950410744733,0.0009266270893821332,153.01274641113656,0.014187108064320783,7.942222026194104,8.64132718538107,3.8293244162368767,12.168238986732986,4.672637110691594,9.740110586097181
0.09684307276669193,0.15720997663280814,0.051266073914810646,0.10175230716533482,0.0018057757412093174,52.89518207420188,0.010841505427245586,5.11705180602547,9.825845545221668,3.913195110940077,19.86526705449048,5.821253127885066,6.515152761671574
0.03771076855511233,0.14652166877208933,0.06379317980046427,0.10352974897313783,0.0010337353345570707,162.68682129926674,0.03948233036292213,2.900555788814888,8.104759142306165,5.061595983531796,8.981061697027846,5.227085981224713,12.888296080266853
